0x40    0100 0000   ld B, B
0x9b    1001 1011   sbc A, E
0x9c    1001 1100   sbc A, H
0x9d    1001 1101   sbc A, L
0x9e    1001 1110   sbc A, (HL)
0x9f    1001 1111   sbc A, A

0xa0    1010 0000   and B
0xa1    1010 0001   and C
0xa2    1010 0010   and D
0xa3    1010 0011   and E
0xa4    1010 0100   and H
0xa5    1010 0101   and L
0xa6    1010 0110   and (HL)
0xa7    1010 0111   and A

0xa8    1010 1000   xor B
0xa9    1010 1001   xor C
0xaa    1010 1010   xor D
0xab    1010 1011   xor E
0xac    1010 1100   xor H
0xad    1010 1101   xor L
0xae    1010 1110   xor (HL)
0xaf    1010 1111   xor A

0xb0    1011 0000   or B
0xb1    1011 0001   or C
0xb2    1011 0010   or D
0xb3    1011 0011   or E
0xb4    1011 0100   or H
0xb5    1011 0101   or L
0xb6    1011 0110   or (HL)
0xb7    1011 0111   or A

0xb8    1011 1000   cp B
0xb9    1011 1001   cp C
0xba    1011 1010   cp D
0xbb    1011 1011   cp E
0xbc    1011 1100   cp H
0xbd    1011 1101   cp L
0xbe    1011 1110   cp (HL)
0xbf    1011 1111   cp A

0xc0    1100 0000   ret NZ
0xd0    1101 0000   ret NC

0xc1    1100 0001   pop BC
0xd1    1101 0001   pop DE
0xe1    1110 0001   pop HL
0xf1    1111 0001   pop AF

0xc5    1100 0101   push BC
0xd5    1101 0101   push DE
0xe5    1110 0101   push HL
0xf5    1111 0101   push AF

0x20    0010 0000   jr NZ, n    ☑   relative jump
0x30    0011 0000   jr NC, n    ☑

0xc2    1100 0010   jp NZ, nn ☑
0xca    1100 1010   jp Z, nn ☑
0xd2    1101 0010   jp NC, nn ☑
0xda    1101 1010   jp C, nn ☑
0xe9    1110 1001   jp (HL) ☑
0xc3    1100 0011   jp nn ☑


0xc4    1100 0100   call NZ, nn
0xcc    1100 1100   call Z, nn
0xd4    1101 0100   call NC, nn
0xdc    1101 1100   call C, nn
0xcd    1100 1101   call nn

-------------------------------

0xc6    1100 0110   add A, n
0xd6    1101 0110   sub A, n
0xe6    1110 0110   and n
0xf6    1111 0110   or n

0xc7    1100 0111   rst 0
0xd7    1101 0111   rst 10
0xe7    1110 0111   rst 20
0xf7    1111 0111   rst 30

0xc8    1100 1000   ret Z
0xd8    1101 1000   ret C

0xe8    1110 1000   add SP, d

0xc9    1100 1001   ret
0xd9    1101 1001   reti

0xcb    1100 1011   16-BIT OPERATION

0xfb    1111 1011   ei


0xce    1100 1110   adc A, n
0xde    1101 1110   sbc A, n
0xee    1110 1110   xor n
0xfe    1111 1110   cp n

0xcf    1100 1111   rst 8
